P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,22.0,0.9,1.0,0.009,0.0,1
